cc,nullReferences
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2,0
2,3
1,0
1,0
7,0
1,0
3,1
8,1
5,0
1,0
3,0
1,0
1,0
1,0
1,0
8,0
3,2
2,0
2,0
3,0
1,0
1,0
1,1
1,0
3,0
1,0
15,5
4,0
3,1
1,0
1,0
1,0
1,0
3,0
2,0
1,0
3,1
1,0
1,0
3,0
1,0
1,0
1,0
2,1
1,0
1,0
2,2
1,0
11,2
12,3
3,1
4,1
6,0
1,0
1,0
1,0
1,0
12,9
6,1
4,1
6,0
3,2
3,1
19,15
1,0
3,2
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
8,0
2,0
8,0
3,2
1,0
7,1
9,1
4,2
1,0
6,6
2,1
4,1
2,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
4,0
46,13
2,0
1,0
3,1
2,1
6,1
1,0
6,0
3,1
1,0
3,0
1,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2,0
1,0
1,0
1,0
2,0
2,0
1,0
2,0
2,0
1,0
1,0
1,0
1,0
3,0
9,0
12,0
3,0
19,1
2,0
9,2
9,0
1,0
1,0
1,0
13,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
6,2
10,0
6,0
15,2
1,0
5,2
14,2
5,1
3,0
10,0
1,0
2,0
7,0
1,0
1,0
1,0
3,1
2,0
1,0
1,0
1,0
1,0
1,0
1,0
2,1
7,0
4,1
1,1
2,1
2,0
7,1
1,0
5,3
1,0
1,0
1,0
5,0
1,0
12,1
10,1
1,1
1,0
3,0
2,2
24,1
1,0
11,2
9,9
6,0
26,4
11,3
16,8
1,0
1,0
2,0
1,0
2,1
10,5
16,5
21,12
9,10
18,1
1,0
6,10
1,0
1,0
1,0
1,0
1,0
16,1
1,0
3,0
5,0
7,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2,1
9,9
5,1
5,5
1,0
19,0
15,5
5,0
15,2
7,2
2,0
1,0
3,4
1,0
2,2
6,10
2,2
3,4
5,8
1,0
5,8
3,4
2,2
1,0
2,2
2,2
6,10
3,4
1,0
8,14
2,2
5,8
8,14
2,2
1,0
8,5
1,0
7,2
1,0
2,0
48,17
1,0
13,5
1,0
1,0
1,0
1,0
9,4
1,0
1,0
28,9
3,1
3,1
3,1
4,1
1,1
7,4
1,0
1,0
8,1
2,1
1,0
1,0
1,0
1,0
12,8
1,1
1,0
1,0
14,6
4,0
2,0
1,0
4,0
1,0
1,1
1,0
1,0
8,2
1,0
4,0
7,2
12,2
6,0
10,2
2,0
15,1
5,0
14,12
8,1
1,0
1,0
1,0
1,0
1,0
7,0
1,0
1,0
1,0
1,0
9,3
1,0
2,0
3,0
1,0
4,0
4,1
7,2
7,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2,0
1,0
1,0
1,0
2,1
6,3
1,0
2,0
7,3
1,0
1,0
2,0
1,0
1,0
1,0
2,0
1,0
1,0
1,0
1,0
1,0
1,0
4,0
2,0
4,0
6,0
