/ComplexPreferences/src/br/com/kots/mob/complex/preferences/ComplexPreferences.java,2,4:,0:,16,9:,11,0,1:,0:,55,3:,1,4,37:,2:,1:
/ExampleComplexPreferences/src/br/com/kots/mob/complex/preferences/example/ListUserComplexPref.java,0,1:,0:,9,1:,0,0,0:,0:,11,2:,0,0,6:,0:,0:
/ExampleComplexPreferences/src/br/com/kots/mob/complex/preferences/example/ScreenActivity2.java,1,2:,0:,13,2:,1,1,0:,0:,36,2:,1,1,18:,0:,0:
/ExampleComplexPreferences/src/br/com/kots/mob/complex/preferences/example/User.java,0,3:,0:,3,1:,0,0,0:,0:,29,7:,0,0,18:,0:,0:
/ExampleComplexPreferences/src/br/com/kots/mob/complex/preferences/example/ScreenActivity1.java,0,1:,0:,18,1:,0,1,0:,0:,53,3:,0,0,28:,0:,0:
