full_name,default_branch,stars,forks,created_at,size,open_issues_count
checkstyle/checkstyle,master,7877,8608,2013-08-31T02:05:05Z,136729,839
Activiti/Activiti,develop,9625,6947,2012-09-13T11:34:43Z,126624,563
springframeworkguru/spring5webapp,master,671,17245,2017-05-16T00:00:24Z,137,116
spring-projects/spring-security,main,8003,5609,2012-01-10T21:50:57Z,76113,959
awsdocs/aws-doc-sdk-examples,main,8180,5283,2016-08-18T19:06:57Z,175031,264
paascloud/paascloud-master,master,9687,4349,2018-03-17T05:40:43Z,16083,103
apache/tomcat,main,6962,4716,2011-10-01T07:00:19Z,148429,16
MyCATApache/Mycat-Server,main,9431,3886,2014-12-04T02:46:54Z,19570,934
apache/camel,main,5083,4836,2009-05-21T00:25:36Z,769915,13
zhoutaoo/SpringCloud,master,8330,3864,2017-07-23T14:28:08Z,10069,56
apache/beam,master,7161,4052,2016-02-02T08:00:06Z,535806,4283
udacity/ud851-Exercises,student,2043,6935,2016-11-02T04:41:25Z,4053,40
android/testing-samples,main,8988,3641,2014-10-11T03:51:27Z,11971,105
runelite/runelite,master,4307,4970,2016-04-30T20:48:02Z,64882,1959
apache/storm,master,6483,4130,2013-11-05T08:00:14Z,207405,42
apache/hive,master,5097,4527,2009-05-21T02:31:01Z,685075,106
dropwizard/dropwizard,release/4.0.x,8424,3470,2011-01-19T19:52:29Z,109739,24
apache/cassandra,trunk,8215,3480,2009-05-21T02:10:09Z,408595,363
junit-team/junit4,main,8467,3261,2009-01-13T03:41:26Z,24336,123
apache/shardingsphere-elasticjob,master,7950,3294,2015-09-11T11:28:52Z,44491,149
rabbitmq/rabbitmq-tutorials,main,6403,3589,2010-09-21T11:41:26Z,4847,5
pentaho/pentaho-kettle,master,6939,3333,2013-10-08T18:27:11Z,624105,76
hs-web/hsweb-framework,master,8142,3042,2016-01-18T03:51:39Z,33363,3
apache/doris,master,9631,2733,2017-08-10T12:13:30Z,543784,2067
crossoverJie/cim,master,8988,2803,2018-05-20T15:55:56Z,32060,40
stanfordnlp/CoreNLP,main,9177,2716,2013-06-27T21:13:49Z,367471,175
hibernate/hibernate-orm,main,5566,3350,2010-10-04T16:15:52Z,237123,241
apache/shenyu,master,8061,2848,2018-07-11T08:17:45Z,51630,141
devopshydclub/vprofile-project,vp-rem,1444,5979,2020-09-24T15:43:44Z,109313,100
TooTallNate/Java-WebSocket,master,9979,2580,2010-01-20T23:33:04Z,4115,53
dyc87112/SpringCloud-Learning,master,7258,2919,2016-08-21T03:39:52Z,1265,22
lenve/VBlog,master,6992,2933,2017-12-26T11:01:55Z,3841,67
527515025/springBoot,master,6173,3061,2016-11-07T02:13:31Z,868,84
spring-projects/spring-data-examples,main,4893,3312,2014-01-30T15:42:43Z,11551,19
apache/hbase,master,4979,3263,2014-05-23T07:00:07Z,480599,191
Alluxio/alluxio,main,6392,2873,2012-12-21T17:43:46Z,202511,935
trinodb/trino,master,8578,2526,2019-01-19T06:38:14Z,236271,2461
kevin-wayne/algs4,master,7303,2699,2015-08-31T09:28:49Z,1883,21
